20150116,193.0700,194.4900,189.6500,190.7000,3603200
20150120,191.9300,194.1200,187.0400,193.8700,4503200
20150121,196.5700,198.6800,189.5100,189.5500,4153000
20150122,201.6200,203.2400,195.2000,197.0000,4116900
20150123,201.2900,203.5000,198.3300,200.2900,3438600
20150126,206.5500,208.6200,201.0500,201.8300,3234500
20150127,205.9800,208.0300,203.3000,204.4200,2781000
20150128,199.3700,206.3700,198.4200,206.1100,3149600
20150129,205.2000,205.9800,196.5000,201.0700,3548100
20150130,203.6000,207.4700,203.0000,203.9600,3007000
20150202,210.9400,211.9500,203.3000,203.9700,4149200
20150203,218.3600,220.3700,211.2700,213.2200,4826200
20150204,218.5500,221.4800,216.8000,218.2900,3305400
20150205,220.9900,225.4800,219.6400,219.8800,3522900
20150206,217.3600,223.4000,216.5000,222.0000,3233200
20150209,217.4800,217.9300,211.9900,215.3800,3472400
20150210,216.2900,220.5000,215.0000,217.5500,5390500
20150211,212.8000,214.7400,207.2800,212.2100,9769100
20150212,202.8800,203.0900,193.2800,193.5700,15649600
20150213,203.7700,205.9900,200.9100,202.9000,6191000
20150217,204.3500,205.7000,201.5000,205.7000,3979600
20150218,204.4600,206.1700,202.6000,204.1700,2713600
20150219,211.7100,212.4400,203.7500,205.0000,5154100
20150220,217.1100,217.6000,209.8100,210.7800,5982100
20150223,207.3400,218.2000,206.3300,215.6600,8499800
20150224,204.1100,207.2900,201.7000,207.2900,6603600
20150225,203.7600,207.1400,202.5800,204.9400,3909500
20150226,207.1900,211.0900,202.2200,204.0000,6472900
20150227,203.3400,208.5500,202.8000,206.9000,3882100
20150302,197.3300,203.3400,195.8300,202.7000,7922100
20150303,199.5600,200.2400,195.3200,196.8100,4432300
20150304,202.4400,202.5200,197.2100,199.2500,4222000
20150305,200.6300,206.1900,200.1500,202.8500,4877000
20150306,193.8800,200.7500,192.1500,199.2100,6712400
20150309,190.8800,194.4900,188.2500,194.3900,6736700
20150310,190.3200,193.5000,187.6000,188.4600,5579700
20150311,193.7400,196.1800,191.0100,191.1500,4974900
20150312,191.0700,194.4500,189.7500,193.7500,4149300
20150313,188.6800,191.7500,187.3200,188.9500,5434300
20150316,195.7000,195.9100,189.8000,192.0000,5628800
20150317,194.7300,198.7100,193.9400,195.4300,4894100
20150318,200.7100,200.8800,193.1100,194.9600,4820900
20150319,195.6500,204.5900,194.5300,202.0000,8475200
20150320,198.0800,198.9900,195.6200,197.4500,4269500
20150323,199.6300,200.5000,197.4700,198.5000,2631600
20150324,201.7200,203.7900,199.7500,201.5800,3649900
20150325,194.3000,198.5900,192.7000,198.2700,5730400
20150326,190.4100,194.7900,189.7000,193.9200,4128000
20150327,185.0000,189.2900,181.4000,189.0700,8604900
20150330,190.5700,192.2500,181.8000,185.8500,10089500
20150331,188.7700,193.7600,188.4100,193.5300,5026600
20150401,187.5900,192.3000,186.0500,188.7000,3794600
20150402,191.0000,193.2300,190.0000,190.2300,5010400
20150406,203.1000,207.7500,197.5000,198.0000,12455800
20150407,203.2500,205.0600,201.1400,202.5100,4347900
20150408,207.6700,210.9000,205.8700,208.2000,6303100
20150409,210.0900,210.3700,206.1200,208.4300,3800200
20150410,210.9000,211.6500,209.0000,209.8500,4067700
20150413,209.7800,213.0000,209.0500,210.4400,3758200
20150414,207.4600,209.4900,205.5000,208.5700,3026000
20150415,207.8300,209.5900,206.6000,207.4600,1952400
20150416,206.7000,209.1700,206.2900,207.7000,1659100
20150417,206.7900,206.8800,203.5000,204.9900,2469900
20150420,205.2700,207.8500,203.8500,206.7800,2559300
20150421,209.4100,210.7500,204.3100,205.8000,3432500
20150422,219.4400,221.8800,211.6900,212.5000,7863000
20150423,218.6000,221.4800,217.1500,218.2700,4411200
20150424,218.4300,220.8000,218.0100,220.5000,2427800
20150427,231.5500,238.7500,222.0000,222.5600,11672600
20150428,230.4800,235.5000,228.0300,234.7500,6085400
20150429,232.4500,234.9700,227.6300,230.0500,3936100
20150430,226.0500,232.8900,225.1700,230.3900,3911900
20150501,226.0300,231.7700,220.4100,229.9400,5281700
20150504,230.5100,234.7300,227.1100,228.1800,4434600
20150505,232.9500,239.5000,229.1300,237.7600,5796900
20150506,230.4300,234.4700,228.2000,234.1000,5270900
20150507,236.8000,237.4800,220.2500,221.0000,9455900
20150508,236.6100,238.4100,233.7000,235.9900,4668200
20150511,239.4900,242.8800,235.3100,236.2900,5672300
20150512,244.7400,246.3500,238.1900,240.1100,6363400
20150513,243.1800,248.3000,242.2500,247.6100,5440200
20150514,244.1000,244.8900,241.2500,244.8200,2895900
20150515,248.8400,249.4000,242.5000,243.9300,4527600
